[System: 192.168.1.77] INFO | 07-28-2025 13:37:41.219 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:37:41.219 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:37:41.271 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:37:43.219 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:37:43.219 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:37:43.219 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:37:43.266 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:37:59.997 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:37:59.997 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:37:59.997 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:38:00.059 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:38:20.208 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:38:26.214 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:38:26.214 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:38:26.214 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:38:26.261 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:38:32.221 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:38:42.211 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:38:42.211 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:38:42.211 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:38:42.258 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:38:43.221 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:38:43.221 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:38:43.221 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:38:43.268 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:39:00.005 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:39:00.005 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:39:00.005 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:39:00.067 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:39:14.221 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:39:27.214 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:39:27.214 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:39:27.214 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:39:27.855 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:39:43.222 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:39:43.222 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:39:43.222 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:39:43.222 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:39:43.222 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:39:43.222 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:39:43.269 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:39:43.425 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
