[System: 192.168.1.59] ERROR | 11-11-2025 13:47:28.121 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:47:42.810 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:47:42.810 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-11-2025 13:47:42.810 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:47:42.904 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:48:29.069 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:48:29.069 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:48:29.069 | Common:: DecodeBase64 START
[System: 192.168.1.59] ERROR | 11-11-2025 13:48:29.115 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:48:43.824 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:48:43.824 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-11-2025 13:48:43.824 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:48:43.902 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:49:30.062 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:49:30.078 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:49:30.078 | Common:: DecodeBase64 START
[System: 192.168.1.59] ERROR | 11-11-2025 13:49:30.125 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:49:44.801 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:49:44.801 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-11-2025 13:49:44.801 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:49:44.895 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:50:31.074 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:50:31.074 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:50:31.074 | Common:: DecodeBase64 START
[System: 192.168.1.59] ERROR | 11-11-2025 13:50:31.121 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
